,name,description
0,Nintendo EAD,
1,PUBG Corporation,
2,Game Freak,
3,Bullet Proof Software,
4,Mojang AB,
5,Nintendo R&D1,
6,Good Science Studio,
7,Rockstar North,
8,Nintendo SDD,
9,Team Garry,
10,Nintendo EAD / Retro Studios,
11,Nintendo R&D2,
12,Treyarch,
13,Nintendo EPD,
14,Valve Software,
15,Sonic Team,
16,Polyphony Digital,
17,Infinity Ward,
18,Bungie Studios,
19,Rockstar Games,
20,Sledgehammer Games,
21,Project Sora,
22,DMA Design,
23,Nintendo,
24,Mojang,
25,Nintendo EAD Tokyo,
26,Bandai Namco Games,
27,Blizzard Entertainment,
28,EA Vancouver,
29,Re-Logic,
30,EA Canada,
31,Ubisoft Paris,
32,Guerrilla Games,
33,Frontier Developments,
34,Bungie,
35,343 Industries,
36,SquareSoft,
37,"Nd Cube Co., Ltd.",
38,Hudson Soft,
39,Rare Ltd.,
40,EA Sports,
41,Facepunch Studios,
42,Insomniac Games,
43,Bethesda Game Studios,
44,Naughty Dog,
45,Namco,
46,EA DICE,
47,EA Redwood Shores,
48,Rockstar Leeds,
49,Atari,
50,HAL Laboratory,
51,Dice,
52,EA Black Box,
53,Edmund McMillen,
54,Level 5,
55,Ubisoft,
56,EA Los Angeles,
57,"Pipeworks Software, Inc.",
58,Rockstar San Diego,
59,Retro Studios,
60,Ubisoft Montreal,
61,ArenaNet,
62,Square Enix,
63,Capcom,
64,Reflections Interactive,
65,SIE Santa Monica Studio,
66,Konami Computer Entertainment Japan,
67,Cyan Worlds,
68,Kojima Productions,
69,SCS Software,
70,Intelligent Systems,
71,Media Molecule,
72,Hidden Path Entertainment,
73,Next Level Games,
74,Bluepoint Games,
75,Traveller's Tales,
76,Office Create,
77,GREZZO,
78,Rocksteady Studios,
79,Turn 10 Studios,
80,Crystal Dynamics,
81,CD Projekt Red Studio,
82,Jupiter Corporation,
83,Unknown,
84,Core Design Ltd.,
85,EA Tiburon,
86,Obsidian Entertainment,
87,SCEA Santa Monica Studio,
88,Microsoft,
89,Harmonix Music Systems,
90,Lionhead Studios,
91,Sega,
92,Neversoft Entertainment,
93,Pumpkin Studios,
94,Colossal Order,
95,Epic Games,
96,BudCat Creations,
97,ConcernedApe,
98,Level 5 / Armor Project,
99,ChunSoft,
100,Vicarious Visions,
101,Radical Entertainment,
102,Stormfront Studios,
103,Turn 10 Studio,
104,Irrational Games,
105,AlphaDream Corporation,
106,Neversoft,
107,Techland,
108,Bohemia Interactive,
109,Studio Wildcard,
110,Activision,
111,Bethesda Softworks,
112,Konami Computer Entertainment Tokyo,
113,Ubisoft Montpellier,
114,Massive Entertainment,
115,High Moon Studios,
116,Heart Beat,
117,Mass Media,
118,Ready at Dawn,
119,KCEJ / Kojima Productions,
120,Capcom / Dimps Corporation,
121,The Fun Pimps,
122,Konami,
123,Avalanche Studios,
124,Millenium Interactive,
125,Team Fusion,
126,Maxis,
127,Cat Daddy Games,
128,Blizzard North,
129,Virgin Interactive,
130,SCEE London Studio,
131,Digital Eclipse,
132,Visual Concepts,
133,Certain Affinity / Valve Software,
134,Plato,
135,SCE San Diego Studio,
136,Evolution Studios,
137,Capcom Production Studio 1,
138,Nintendo SPD Group No.1,
139,High Impact Games,
140,Argonaut Games,
141,Zipper Interactive,
142,The Coalition,
143,Pandemic Studios,
144,id Software,
145,The Behemoth,
146,Ubisoft Quebec,
147,Toby Fox,
148,Yuke's,
149,Team Soho,
150,Avalanche Software,
151,Irem Software Engineering,
152,NetherRealm Studios,
153,EA Digital Illusions CE,
154,Gearbox Software,
155,Dimps Corporation,
156,Eurocom Entertainment Software,
157,8ing/Raizing,
158,Iguana Entertainment,
159,Artoon,
160,n-Space,
161,The Collective,
162,Remedy Entertainment,
163,From Software,
164,"Hypnos Entertainment, Inc.",
165,Valve Corporation,
166,Luxoflux,
167,Black Ops Entertainment,
168,Team Bondi,
169,Monolith Productions,
170,Shiny Entertainment,
171,1st Playable Productions,
172,4J Studios,
173,LucasArts,
174,Namco Bandai Games,
175,Respawn Entertainment,
176,BioWare Edmonton,
177,Bandai,
178,Volition Inc.,
179,Quantic Dream,
180,BioWare,
181,Nintendo IRD,
182,Yuke's Future Media Creators,
183,Junction Point Studios,
184,Crytek,
185,Big Blue Box,
186,Sucker Punch Productions,
187,Nintendo Software Technology Corporation,
188,syn Sophia,
189,Team Meat,
190,BioWare / LucasArts,
191,IO Interactive,
192,Sumo Digital,
193,Clap Hanz,
194,Spark Unlimited,
195,Eidetic,
196,Visual Impact,
197,Hangar 13,
198,Unknown Worlds Entertainment,
199,Codemasters,
200,Introversion Software,
201,Westwood Studios,
202,Telltale Games,
203,2K Australia / 2K Boston,
204,"Flagship Co., Ltd. / Nintendo EAD",
205,Criterion Games,
206,Virtual Toys / Lexis Numerique,
207,Camelot Software Planning,
208,Frozenbyte,
209,Toys for Bob,
210,NuFX,
211,Edge of Reality,
212,Nicalis,
213,Ghost Games,
214,Max Design,
215,Probe Entertainment Limited,
216,Ensemble Studios,
217,DreamWorks Interactive,
218,DC Studios,
219,Slightly Mad Studios,
220,Angel Studios,
221,SCEE Cambridge,
222,Ubisoft Milan,
223,Dennaton Games,
224,Supergiant Games,
225,Agenda,
226,Hitmaker,
227,Raven Software,
228,Playground Games,
229,Hitbox Team,
230,JGI Entertainment,
231,Midway,
232,Trendy Entertainment,
233,Black Rock Studio,
234,SingleTrac,
235,Monster Games,
236,Rainbow Studios,
237,Genius Sonority Inc.,
238,Atlus Co.,
239,Capcom Production Studio 4,
240,TRY Corporation,
241,Bullfrog Productions,
242,Warner Bros. Interactive Entertainment,
243,Aki Corp.,
244,Heavy Iron Studios,
245,Backbone Entertainment,
246,United Front Games,
247,TOSE,
248,Yuke's Media Creations,
249,Headstrong Games,
250,Bandai Namco Games / NOW Production,
251,Illusion Softworks,
252,The Sims Studio,
253,Idol Minds Digital Entertainment,
254,3909 LLC,
255,Matrix Software,
256,Berserk Games,
257,Kaiko,
258,Blacklight Interactive,
259,"HAL Laboratory, Flagship",
260,Hello Games,
261,UEP Systems,
262,Omega Force,
263,EXAKT Entertainment,
264,Dimps Corporation / Sonic Team,
265,Red Hook Studios,
266,2K Marin,
267,Artificial Mind and Movement,
268,Beenox,
269,BioWare Corp.,
270,Factor 5,
271,5TH Cell,
272,SIE London Studio,
273,EKO Software,
274,Amaze Entertainment,
275,Imagic,
276,Bizarre Creations,
277,EA Seattle,
278,ParityBit,
279,Creative Assembly,
280,Blue Planet Software,
281,Endemol,
282,Big Grub,
283,Bemani,
284,Yuke's Osaka,
285,Helixe,
286,ZeniMax Online Studios,
287,Midway Amusement Games,
288,Team Ninja,
289,Croteam,
290,Flagship,
291,Psyonix Studios,
292,Landfall West,
