0;Wii Sports;wii-sports;0;2006.0;Wii;E;http://www.vgchartz.com/games/boxart/full_2258645AmericaFrontccc.jpg;0;0.0
2;Mario Kart Wii;mario-kart-wii;2;2008.0;Wii;E;http://www.vgchartz.com/games/boxart/full_8932480AmericaFrontccc.jpg;0;0.0
4;Wii Sports Resort;wii-sports-resort;0;2009.0;Wii;E;http://www.vgchartz.com/games/boxart/full_7295041AmericaFrontccc.jpg;0;0.0
5;Pokemon Red / Green / Blue Version;pokmon-red;4;1998.0;GB;E;http://www.vgchartz.com/games/boxart/full_6442337AmericaFrontccc.png;0;2.0
6;New Super Mario Bros.;new-super-mario-bros;1;2006.0;DS;E;http://www.vgchartz.com/games/boxart/full_2916260AmericaFrontccc.jpg;0;0.0
7;Tetris;tetris;5;1989.0;GB;E;http://www.vgchartz.com/games/boxart/3740960ccc.jpg;0;3.0
8;New Super Mario Bros. Wii;new-super-mario-bros-wii;1;2009.0;Wii;E;http://www.vgchartz.com/games/boxart/full_1410872AmericaFrontccc.jpg;0;0.0
11;Wii Play;wii-play;6;2007.0;Wii;E;http://www.vgchartz.com/games/boxart/full_6165969AmericaFrontccc.jpg;0;0.0
12;Kinect Adventures!;kinect-adventures;7;2010.0;X360;E;http://www.vgchartz.com/games/boxart/full_kinect-adventures_386AmericaFront.jpg;3;6.0
13;Nintendogs;nintendogs;8;2005.0;DS;E;http://www.vgchartz.com/games/boxart/full_4870931AmericaFrontccc.jpg;0;0.0
14;Mario Kart DS;mario-kart-ds;2;2005.0;DS;E;http://www.vgchartz.com/games/boxart/full_9551652AmericaFrontccc.jpg;0;0.0
15;Pokemon Gold / Silver Version;pokmon-gold;4;2000.0;GB;E;http://www.vgchartz.com/games/boxart/full_1344180AmericaFrontccc.png;0;2.0
16;Wii Fit;wii-fit;0;2008.0;Wii;E;http://www.vgchartz.com/games/boxart/full_3619557AmericaFrontccc.jpg;0;0.0
