,name,description
0,Nintendo,
1,PUBG Corporation,
2,Mojang,
3,Microsoft Game Studios,
4,Rockstar Games,
5,Unknown,
6,Activision,
7,VU Games,
8,Sega,
9,Sony Computer Entertainment,
10,Valve,
11,Microsoft Studios,
12,Blizzard Entertainment,
13,EA Sports,
14,Electronic Arts,
15,Ubisoft,
16,Sony Interactive Entertainment,
17,Atari,
18,Valve Corporation,
19,Facepunch Studios,
20,Bethesda Softworks,
21,Square EA,
22,Square,
23,Namco,
24,Edmund McMillen,
25,Majesco,
26,NCSoft,
27,Square Enix,
28,Capcom,
29,Sony Computer Entertainment America,
30,GT Interactive,
31,Konami,
32,Broderbund,
33,SCS Software,
34,LucasArts,
35,Warner Bros. Interactive,
36,Warner Bros. Interactive Entertainment,
37,Universal Interactive,
38,Endnight Games Ltd,
39,Eidos Interactive,
40,Microsoft,
41,RedOctane,
42,Paradox Interactive,
43,Chucklefish,
44,2K Games,
45,Deep Silver,
46,Studio Wildcard,
47,Red Orb,
48,Take-Two Interactive,
49,"Infocom, Inc.",
50,Enix,
51,The Fun Pimps,
52,Ultra Games,
53,Hasbro Interactive,
54,Sierra Entertainment,
55,Global Star Software,
56,2K Sports,
57,The Behemoth,
58,Toby Fox,
59,THQ,
60,Fox Interactive,
61,Namco Bandai,
62,Acclaim Entertainment,
63,Activision Blizzard,
64,Namco Bandai Games,
65,Valve Software,
66,Disney Interactive Studios,
67,Bandai,
68,Konami Digital Entertainment,
69,989 Studios,
70,Unknown Worlds Entertainment,
71,Introversion Software,
72,Virgin Interactive,
73,Telltale Games,
74,Frozenbyte,
75,Midway Games,
76,EA Sports BIG,
77,Nicalis,
78,Focus Home Interactive,
79,Sunflowers,
80,Arena Entertainment,
81,Buena Vista,
82,Devolver Digital,
83,Rare,
84,MTV Games,
85,Hitbox Team,
86,Trendy Entertainment,
87,Jaleco,
88,3909 LLC,
89,Berserk Games,
90,THQ Nordic,
91,3DO,
92,Hello Games,
93,KOEI,
94,Vivendi Games,
95,Red Hook Studios,
96,Parker Bros.,
97,Tengen,
98,Maxis,
99,Level 5,
100,Falcom,
101,Imagic,
102,ASCII Entertainment,
103,Gotham Games,
104,2K Play,
105,Tecmo,
106,505 Games,
107,Ndemic Creations,
108,Frontier Developments,
109,Whiptail Interactive,
110,Bossa Studios,
111,Hinterland Studio Inc.,
112,Atlus,
113,Remedy Entertainment,
114,Nordic Games,
